ds,yhat,protest_count,scotus_count
2023-01-08,1462.3422741414352,1495,0
2023-01-22,1451.533245945188,1589,2
2023-02-05,1188.610984696771,1442,0
2023-02-19,1273.8557238652581,1528,6
2023-03-05,1968.2446604503477,1349,0
2023-03-19,1770.497232620151,1758,2
2023-04-02,1489.9045484518772,1172,2
2023-04-16,1733.2103059027863,1104,5
2023-04-30,1421.3327618968297,1128,5
2023-05-14,1290.9779754348938,989,10
2023-05-28,2129.4961703117324,1200,9
2023-06-11,1926.8257696061123,1309,22
2023-06-25,1624.4648739837598,941,11
2023-07-09,1485.1248463334948,965,0
2023-07-23,1274.0236476813527,945,0
2023-08-06,1471.7967144676124,793,0
2023-08-20,1461.774428870681,944,0
2023-09-03,1464.1959398887184,1019,0
2023-09-17,1786.1341939502215,986,0
2023-10-01,1695.1500293620536,1816,0
2023-10-15,1597.125463815945,1483,0
2023-10-29,1622.9428085761417,1428,0
2023-11-12,1481.3848764613401,1334,0
2023-11-26,1462.849805516143,1213,1
2023-12-10,1376.4116499621612,1339,0
2023-12-24,1326.206558029146,579,0
